PERMIT NUMBER,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,PAYMENT DATE,ADDRESS,ADDRESS NUMBER START,ADDRESS NUMBER,STREET DIRECTION,STREET,STREET TYPE,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE,LOCATION
1133183,407896,1,"NANDO'S OF HYDE PARK, LLC",NANDO'S PERI PERI,07/03/2018,12/01/2018,05/16/2018,1447 E 53RD ST,1447,1447,E,53RD,ST,CHICAGO,IL,60615,5,54,5-54,2,41.799423505,-87.589964079,"(41.799423505424414, -87.58996407916824)"
1133172,394369,1,"NANDO'S OF WEST LOOP, LLC",NANDO'S PERI-PERI,07/03/2018,12/01/2018,05/16/2018,949-953 W RANDOLPH ST,949,949-953,W,RANDOLPH,ST,CHICAGO,IL,60607,27,57,27-57,12,41.884224057,-87.651692762,"(41.88422405723443, -87.65169276245679)"
1133171,405524,1,NANDO'S OF STREETERVILLE LLC,NANDO'S PERI-PERI,07/03/2018,12/01/2018,05/16/2018,227 E ONTARIO ST,227,227,E,ONTARIO,ST,CHICAGO,IL,60611,42,41,42-41,18,41.893262977,-87.621958776,"(41.893262977315636, -87.6219587764921)"
1133144,396026,1,"NANDO'S OF LAKEVIEW, LLC",NANDO'S PERI-PERI,07/03/2018,12/01/2018,05/16/2018,670 W DIVERSEY PKWY,670,670,W,DIVERSEY,PKWY,CHICAGO,IL,60614,44,45,44-45,19,41.932883865,-87.646271752,"(41.932883864695405, -87.64627175168746)"
1132725,407840,1,ANIWAYA CORPORATION,VICTORY'S BANNER,07/03/2018,12/01/2018,05/01/2018,2100 W ROSCOE ST,2100,2100,W,ROSCOE,ST,CHICAGO,IL,60618,32,21,32-21,19,41.943296211,-87.680941115,"(41.943296210740584, -87.68094111525112)"
1132365,394830,1,802 WEST RANDOLPH LLC,BAD HUNTER,07/03/2018,12/01/2018,04/11/2018,802 W RANDOLPH ST,802,802,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.88451431,-87.647584853,"(41.88451430975758, -87.64758485253567)"
1131207,379728,1,"REZA'S ANDERSONVILLE, INC.",REZA'S ANDERSONVILLE,07/03/2018,12/01/2018,04/20/2018,5255-5259 N CLARK ST,5255,5255-5259,N,CLARK,ST,CHICAGO,IL,60640,48,10,48-10,20,41.977842895,-87.6682074,"(41.97784289507301, -87.66820740032976)"
1134533,426470,1,THE KEDZIE INN LLC,THE KEDZIE INN,07/02/2018,12/01/2018,07/02/2018,4100-4102 N KEDZIE AVE,4100,4100-4102,N,KEDZIE,AVE,CHICAGO,,60618,33,17,33-17,17,41.955779968,-87.708216712,"(41.95577996787758, -87.70821671213817)"
1134081,309521,1,"FULTON STREET BREWERY, LLC",GOOSE ISLAND BEER COMPANY,07/02/2018,12/01/2018,07/02/2018,1800 W FULTON ST,1800,1800,W,FULTON,ST,CHICAGO,,60612,27,27,27-27,12,41.886957986,-87.672026499,"(41.88695798598848, -87.67202649859323)"
1134063,351058,1,"ANMOL BARBEQUE RESTAURANT, INC.",ANMOL RESTAURANT,07/02/2018,12/01/2018,07/02/2018,2858 W DEVON AVE,2858,2858,W,DEVON,AVE,CHICAGO,IL,60659,50,33,50-33,24,41.997628301,-87.702018401,"(41.99762830086828, -87.70201840060844)"
1133667,383408,1,"FULTON MARKET KITCHEN, LLC",FULTON MARKET KITCHEN,07/02/2018,12/01/2018,06/29/2018,311 N SANGAMON ST,311,311,N,SANGAMON,ST,CHICAGO,,60607,27,45,27-45,12,41.887114586,-87.650870226,"(41.887114585601694, -87.65087022605566)"
1132918,15211,1,MURILLO'S CORPORATION,PANES BREAD CAFE,07/02/2018,12/01/2018,05/07/2018,3002 N SHEFFIELD AVE,3002,3002,N,SHEFFIELD,AVE,CHICAGO,IL,60657,44,27,44-27,19,41.936372506,-87.654133137,"(41.936372505860334, -87.65413313674591)"
1131824,271463,3,SOUTHPORT MUSIC BOX CORPORATION,MUSIC BOX THEATRE,07/02/2018,12/01/2018,03/27/2018,3733-3735 N SOUTHPORT AVE,3733,3733-3735,N,SOUTHPORT,AVE,CHICAGO,IL,60613,44,25,44-25,19,41.949857259,-87.663946891,"(41.9498572587634, -87.66394689129923)"
1134593,426964,1,SIP OF HOPE LLC,SIP OF HOPE,06/29/2018,12/01/2018,06/29/2018,3039 W FULLERTON AVE,3039,3039,W,FULLERTON,AVE,CHICAGO,,60647,32,20,32-20,14,41.924637844,-87.703803603,"(41.924637844371944, -87.70380360340843)"
1134561,404480,1,"CH FOOD & DRINK, INC.",THE STOPALONG,06/29/2018,12/01/2018,06/29/2018,1812 N MILWAUKEE AVE,1812,1812,N,MILWAUKEE,AVE,CHICAGO,,60647,32,6,32-6,14,41.914261446,-87.683686046,"(41.914261446310334, -87.68368604555803)"
1134543,378414,1,PINTS AND LITERS LLC,FIRST DRAFT,06/29/2018,12/01/2018,06/29/2018,649 S CLARK ST,649,649,S,CLARK,ST,CHICAGO,,60605,4,17,4-17,1,41.873608285,-87.630500286,"(41.873608285143355, -87.63050028599581)"
1134540,416357,1,"41 E. CHESTNUT CRAB PARTNERS, LLC","TRULUCK'S SEAFOOD, STEAK AND CRAB HOUSE",06/29/2018,12/01/2018,06/29/2018,41 E CHESTNUT ST,41,41,E,CHESTNUT,ST,CHICAGO,,60611,42,19,42-19,18,41.898241301,-87.626631762,"(41.898241300503756, -87.62663176178728)"
1134064,414151,1,SHAKE SHACK ILLINOIS LLC,SHAKE SHACK,06/29/2018,12/01/2018,06/29/2018,185 N MORGAN ST,185,185,N,MORGAN,ST,CHICAGO,,60607,27,45,27-45,12,41.885529268,-87.651991926,"(41.885529267610764, -87.65199192620645)"
1133249,413250,1,FRIO Gelato LLC,FRIO Gelato,06/29/2018,12/01/2018,06/18/2018,3721 N SOUTHPORT AVE,3721,3721,N,SOUTHPORT,AVE,CHICAGO,IL,60613,44,25,44-25,19,41.94952925,-87.663937341,"(41.94952924955868, -87.6639373406069)"
1133058,65661,2,"KEDZIE BOULEVARD CAFE, INC.",SCOFFLAW,06/29/2018,12/01/2018,05/18/2018,3201-3203 W ARMITAGE AVE,3201,3201-3203,W,ARMITAGE,AVE,CHICAGO,IL,60647,26,3,26-3,14,41.917291496,-87.707051601,"(41.91729149564559, -87.70705160149535)"
1133049,313934,12,"THIRSTY ANGUS, LLC",THE PIGGERY,06/29/2018,12/01/2018,05/08/2018,1625 W IRVING PARK RD,1625,1625,W,IRVING PARK,RD,CHICAGO,IL,60613,47,25,47-25,19,41.954165368,-87.670127842,"(41.954165368383535, -87.6701278424856)"
1131506,395512,1,Mama Luna on Addison LLC,Mama Luna on Addison LLC,06/29/2018,12/01/2018,03/23/2018,7601 W ADDISON ST,7601,7601,W,ADDISON,ST,CHICAGO,IL,60634,38,9,38-9,16,41.945076697,-87.816856291,"(41.945076696578795, -87.81685629073219)"
1134546,403730,1,"MARCHESA, LLC",MARCHESA,06/28/2018,12/01/2018,06/28/2018,535 N WELLS ST,535,535,N,WELLS,ST,CHICAGO,,60654,42,32,42-32,18,41.891772827,-87.633927058,"(41.89177282708873, -87.6339270578467)"
1134065,363131,1,NELLCOTE LLC,NELLCOTE & RM CHAMPAGNE SALON,06/28/2018,12/01/2018,06/28/2018,833-839 W RANDOLPH ST,833,833-839,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.884277216,-87.64865853,"(41.88427721586092, -87.6486585295976)"
1134058,338752,1,ICON PROJECT ROC LLC,OLD TOWN SOCIAL,06/28/2018,12/01/2018,06/28/2018,455 W NORTH AVE,455,455,W,NORTH,AVE,CHICAGO,IL,60610,2,37,2-37,18,41.910972818,-87.640785577,"(41.91097281776573, -87.64078557724434)"
1133524,401514,1,The Pullman Cafe LLC,The Pullman Cafe,06/28/2018,12/01/2018,06/15/2018,11208 S ST LAWRENCE AVE,11208,11208,S,ST LAWRENCE,AVE,CHICAGO,,60628,9,37,9-37,5,41.690669507,-87.608518651,"(41.69066950675008, -87.6085186509516)"
1133261,319202,1,"DEMERA ETHIOPIAN RESTAURANT, LLC",DEMERA ETHIOPIAN RESTAURANT,06/28/2018,12/01/2018,06/14/2018,4801 N BROADWAY,4801,4801,N,BROADWAY,,CHICAGO,IL,,46,40,46-40,20,41.969088855,-87.659525381,"(41.96908885472496, -87.65952538050671)"
1132008,31312,1,FRANZ KOKOTT INCORPORATED,LASCHET'S INN,06/28/2018,12/01/2018,06/28/2018,2119 W IRVING PARK RD,2119,2119,W,IRVING PARK,RD,CHICAGO,IL,60618,47,29,47-29,19,41.95399792,-87.682062422,"(41.953997919864065, -87.68206242189052)"
1133366,351216,1,DORA CAFE INC.,TURKISH CUISINE,06/27/2018,12/01/2018,06/27/2018,2546-48 W PETERSON AVE,2546,2546-48,W,PETERSON,AVE,CHICAGO,IL,60659,40,29,40-29,24,41.990583371,-87.694003955,"(41.99058337130486, -87.6940039551772)"
1131493,370544,2,"LA FOURNETTE, LLC",La Fournette LLC,03/23/2018,12/01/2018,03/22/2018,1547 N WELLS ST,1547,1547,N,WELLS,ST,CHICAGO,IL,,27,54,27-54,18,41.910517471,-87.634543625,"(41.91051747094252, -87.63454362494758)"
1133493,408503,1,"JIMMY BEANS, LLC","JIMMY BEANS, A LOGAN SQUARE ROASTER",06/26/2018,12/01/2018,06/26/2018,2553 W FULLERTON AVE,2553,2553,W,FULLERTON,AVE,CHICAGO,IL,60647,1,30,1-30,14,41.924750508,-87.691885177,"(41.92475050821695, -87.69188517704096)"
1133139,304937,1,"2942 N LINCOLN RESTAURANT, LLC",LAS TABLAS ON LINCOLN,06/26/2018,12/01/2018,06/26/2018,2942-44 N LINCOLN AVE,2942,2942-44,N,LINCOLN,AVE,CHICAGO,IL,60657,32,8,32-8,19,41.935230472,-87.662661916,"(41.93523047183199, -87.66266191648539)"
1132747,48524,2,LITTLE BLACK PEARL WORKSHOP,Carver 47,06/26/2018,12/01/2018,06/22/2018,1060 E 47TH ST,1060,1060,E,47TH,ST,CHICAGO,,60653,4,15,4-15,2,41.809722387,-87.599389183,"(41.80972238714215, -87.59938918300288)"
1133468,399988,1,"SOME LIKE IT BLACK CREATIVE ARTS BAR, INC.","SOME LIKE IT BLACK CREATIVE ARTS BAR, INC",06/25/2018,12/01/2018,06/25/2018,4259 S COTTAGE GROVE AVE,4259,4259,S,COTTAGE GROVE,AVE,CHICAGO,IL,60653,4,7,4-7,2,41.816871451,-87.606562199,"(41.816871451167565, -87.60656219896904)"
1133466,367789,2,"YOLANDA R, INC.",NICKS PIT STOP,06/25/2018,12/01/2018,06/22/2018,2023 N DAMEN AVE,2023,2023,N,DAMEN,AVE,CHICAGO,IL,60647,32,34,32-34,14,41.918485528,-87.677499427,"(41.91848552836334, -87.67749942703408)"
1133248,222095,1,"CESARS ON BROADWAY RESTAURANT, INC.",CESAR'S ON BROADWAY,06/22/2018,12/01/2018,06/22/2018,2924-2926 N BROADWAY,2924,2924-2926,N,BROADWAY,,CHICAGO,IL,60657,44,6,44-6,19,41.935631858,-87.644398079,"(41.93563185766838, -87.64439807874828)"
1132825,369301,1,"2114 W. DIVISION STREET, LLC",NANDO MILANO TRATTORIA,06/22/2018,12/01/2018,05/25/2018,2114 W DIVISION ST,2114,2114,W,DIVISION,ST,CHICAGO,IL,60622,2,3,2-3,14,41.903245759,-87.680355265,"(41.90324575893042, -87.68035526472148)"
1132939,271886,1,"235 ASHLAND HOLDINGS, INC.",COBRA LOUNGE,06/21/2018,12/01/2018,06/12/2018,235 N ASHLAND AVE,235,235,N,ASHLAND,AVE,CHICAGO,IL,60607,27,33,27-33,12,41.886491383,-87.666864575,"(41.88649138251822, -87.6668645750203)"
1132022,409275,1,"RYLON'S SMOKEHOUSE PARTNERS, LLP",WINDY CITY RIBS,06/21/2018,12/01/2018,04/13/2018,67-69 E CERMAK RD,67,67-69,E,CERMAK,RD,CHICAGO,IL,60616,3,3,3-3,1,41.852751616,-87.624425882,"(41.85275161632059, -87.62442588215922)"
1133665,418621,3,WOW BAO LLC,WOW BAO,06/20/2018,12/01/2018,06/20/2018,1 W WACKER DR,1,1,W,WACKER,DR,CHICAGO,,60601,42,,42-,1,41.886704229,-87.62805356,"(41.88670422864661, -87.62805355978018)"
1133499,399290,2,"AUDIOLEAF SCHUBAS OPERATING I, LLC",SCHUBA'S TAVERN/ TIED HOUSE,06/20/2018,12/01/2018,06/20/2018,3153 - 3159 N SOUTHPORT AVE,3153,3153 - 3159,N,SOUTHPORT,AVE,CHICAGO,,60657,32,7,32-7,19,41.939533581,-87.663666194,"(41.939533581366824, -87.66366619417107)"
1133718,22622,19,"PEET'S COFFEE, INC.",PEET'S COFFEE & TEA,06/19/2018,12/01/2018,06/19/2018,636 N WELLS ST,636,636,N,WELLS,ST,CHICAGO,,60654,42,39,42-39,18,41.893514407,-87.634266127,"(41.89351440687143, -87.63426612684187)"
1133620,379854,1,"GINO'S EAST LA SALLE, LLC",THE ORIGINAL GINO'S EAST OF CHICAGO,06/19/2018,12/01/2018,06/18/2018,500 N LA SALLE DR,500,500,N,LA SALLE,DR,CHICAGO,IL,60654,42,46,42-46,18,41.890841457,-87.632706278,"(41.890841457197695, -87.63270627765388)"
1133469,380136,1,"KATHERINE ANNE CONFECTIONS, LLC",KATHERINE ANNE CONFECTIONS,06/19/2018,12/01/2018,06/19/2018,2745 W ARMITAGE AVE,2745,2745,W,ARMITAGE,AVE,CHICAGO,IL,60647,1,34,1-34,14,41.917386311,-87.696585433,"(41.917386311482865, -87.69658543262949)"
1133762,398740,1,"FH CHI, LLC",CAMBRIA CHICAGO MAGNIFICENT MILE,06/18/2018,12/01/2018,06/18/2018,166 E SUPERIOR ST,166,166,E,SUPERIOR,ST,CHICAGO,IL,60611,2,38,2-38,18,41.895865608,-87.623016544,"(41.89586560814865, -87.6230165441443)"
1133585,401729,1,CALAUGUSTA LLC,CAFE MARIE-JEANNE,06/18/2018,12/01/2018,06/15/2018,1001 N CALIFORNIA AVE,1001,1001,N,CALIFORNIA,AVE,CHICAGO,IL,60622,26,15,26-15,12,41.899330918,-87.696644925,"(41.899330918472295, -87.69664492473737)"
1133482,400697,1,MISOYA CHICAGO INC.,RAMEN MISOYA,06/18/2018,12/01/2018,06/18/2018,213 E OHIO ST,213,213,E,OHIO,ST,CHICAGO,,60611,42,35,42-35,18,41.89245894,-87.622112401,"(41.8924589403376, -87.62211240129513)"
1133346,398754,2,SALSA PICANTE CORP,SALSA PICANTE,06/18/2018,12/01/2018,06/18/2018,949 N WESTERN AVE,949,949,N,WESTERN,AVE,CHICAGO,,60622,1,12,1-12,12,41.899021069,-87.686779275,"(41.899021069348024, -87.68677927520129)"
1131901,304821,1,"SPINZER RESTAURANT, INC",SPINZER RESTAURANT,03/21/2018,12/01/2018,03/21/2018,2331 W DEVON AVE,2331,2331,W,DEVON,AVE,CHICAGO,IL,60659,50,32,50-32,24,41.997639559,-87.68872054,"(41.99763955874522, -87.68872053987526)"
1131494,18156,1,2053 W. DIVISION INC.,Silli Kori,03/14/2018,12/01/2018,03/14/2018,2053 W DIVISION ST,2053,2053,W,DIVISION,ST,CHICAGO,IL,60622,1,3,1-3,12,41.903042737,-87.679346686,"(41.90304273718245, -87.67934668623805)"
1133662,401458,1,NAANSENSE CLINTON LLC,NAANSENSE,06/15/2018,12/01/2018,06/15/2018,113 S CLINTON ST,113,113,S,CLINTON,ST,CHICAGO,IL,60661,42,12,42-12,1,41.880144356,-87.640992972,"(41.880144356026875, -87.64099297246834)"
1133660,425464,1,"TRUENORTH HYDE PARK, LLC",TRUENORTH CAFE,06/15/2018,12/01/2018,06/14/2018,1323 E 57TH ST,1323,1323,E,57TH,ST,CHICAGO,,60637,5,27,5-27,2,41.791363239,-87.59386259,"(41.79136323943426, -87.59386259028854)"
1133354,362965,4,SWEET ATTILA'S A BAKE SHOP LLC,THE GROWLING RABBIT,06/15/2018,12/01/2018,06/15/2018,5938-5940 N BROADWAY,5938,5938-5940,N,BROADWAY,,CHICAGO,IL,60660,48,30,48-30,20,41.990162295,-87.660418009,"(41.99016229520979, -87.6604180086472)"
1133604,81543,2,HIEN THU NGO / LOI TAN NGO,HAI YEN,06/14/2018,12/01/2018,06/14/2018,1055 W ARGYLE ST,1055,1055,W,ARGYLE,ST,CHICAGO,IL,60640,48,55,48-55,20,41.973171766,-87.657140831,"(41.97317176563255, -87.65714083118823)"
1133586,405113,1,"CORNERSTONE CAFE - LINCOLN PARK, INCORPORATED",CORNERSTONE CAFE - LINCOLN PARK,06/14/2018,12/01/2018,06/14/2018,2200-2202 N CLYBOURN AVE,2200,2200-2202,N,CLYBOURN,AVE,CHICAGO,IL,60614,2,37,2-37,18,41.921581373,-87.664565129,"(41.921581373212874, -87.6645651292835)"
1133492,68427,1,"GALVIN ENTERPRISES, INC.",GALVIN'S PUBLIC HOUSE,06/14/2018,12/01/2018,06/14/2018,5901 W LAWRENCE AVE,5901,5901,W,LAWRENCE,AVE,CHICAGO,IL,60630,45,45,45-45,16,41.967574842,-87.774937634,"(41.96757484163005, -87.77493763409912)"
1133489,196,1,"MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.","MARTINO'S ITALIAN CUISINE & PIZZERIA, INC.",06/14/2018,12/01/2018,06/14/2018,3431 W PETERSON AVE,3431,3431,W,PETERSON,AVE,CHICAGO,IL,60659,39,41,39-41,17,41.99019852,-87.715262373,"(41.990198520314, -87.71526237304488)"
1133472,369667,1,GOMEZ RESTAURANT LLC,DON PEPE,06/14/2018,12/01/2018,06/14/2018,3616 W 26TH ST,3616,3616,W,26TH,ST,CHICAGO,IL,60623,22,13,22-13,10,41.844483527,-87.715584536,"(41.844483527070835, -87.71558453559561)"
1133181,304099,1,26TH STREET SUGAR SHACK,26TH STREET SUGAR SHACK,06/14/2018,12/01/2018,05/07/2018,630 W 26TH ST,630,630,W,26TH,ST,CHICAGO,IL,60616,11,33,11-33,9,41.845486248,-87.642836973,"(41.8454862477695, -87.64283697309901)"
1133079,65358,1,"PODRUMEDIC RESTAURANTS, INC.",LITTLE BUCHAREST BISTRO,06/14/2018,12/01/2018,05/15/2018,3661-65 N ELSTON AVE,3661,3661-65,N,ELSTON,AVE,CHICAGO,IL,60618,33,17,33-17,17,41.947927049,-87.7105289,"(41.94792704863816, -87.7105289004055)"
1132832,356908,1,DEL SEOUL LLC,DEL SEOUL,06/14/2018,12/01/2018,05/07/2018,2568-2570 N CLARK ST,2568,2568-2570,N,CLARK,ST,CHICAGO,IL,60614,43,33,43-33,19,41.929447959,-87.64292489,"(41.92944795929552, -87.64292489047057)"
1132094,404538,1,"1500 N. WELLS OPCO, LLC",80 PROOF,03/13/2018,12/01/2018,03/13/2018,1500 N WELLS ST,1500,1500,N,WELLS,ST,CHICAGO,IL,60610,27,42,27-42,18,41.909255619,-87.634797337,"(41.90925561938696, -87.63479733683684)"
1133937,388212,1,"FOREST N OAK HOLDINGS, LLC",REAL GOOD JUICE CO.,06/13/2018,12/01/2018,06/13/2018,1647 N WELLS ST,1647,1647,N,WELLS,ST,CHICAGO,,60614,2,44,2-44,18,41.912522118,-87.634605394,"(41.91252211788936, -87.63460539376686)"
1133764,398539,1,"LPQ N. WELLS ST, INC.",LE PAIN QUOTIDIEN,06/13/2018,12/01/2018,06/13/2018,1562 N WELLS ST,1562,1562,N,WELLS,ST,CHICAGO,IL,60610,27,42,27-42,18,41.910949421,-87.634851303,"(41.91094942148233, -87.63485130313555)"
1133721,422962,1,"ANATOLIA KITCHEN & BAKERY, INC.","ANATOLIA KITCHEN & BAKERY, INC.",06/13/2018,12/01/2018,06/11/2018,3151 N BROADWAY,3151,3151,N,BROADWAY,,CHICAGO,,60657,44,28,44-28,19,41.939194111,-87.644223955,"(41.93919411054692, -87.64422395471186)"
1133719,404475,1,BREW BREW COFFEE LOUNGE LLC,BREW BREW COFFEE LOUNGE,06/13/2018,12/01/2018,06/13/2018,3832 W DIVERSEY AVE,3832,3832,W,DIVERSEY,AVE,CHICAGO,IL,60647,30,36,30-36,25,41.931946009,-87.72344452,"(41.93194600914831, -87.72344452041501)"
1133480,302687,1,CPS #2 LLC,EPPLES RESTAURANT,06/13/2018,12/01/2018,06/13/2018,554 W ROOSEVELT RD,554,554,W,ROOSEVELT,RD,CHICAGO,,60607,25,27,25-27,1,41.867341496,-87.641414141,"(41.86734149567995, -87.64141414130435)"
1133287,426327,1,MINI MOTT CO.,MINI MOTT,06/13/2018,12/01/2018,05/30/2018,3057 W LOGAN BLVD,3057,3057,W,LOGAN,BLVD,CHICAGO,,60647,32,14,32-14,14,41.928293921,-87.704734497,"(41.928293921416866, -87.70473449662273)"
1133276,386661,1,SOHO HOUSE CHICAGO LLC,SOHO HOUSE CHICAGO,06/13/2018,12/01/2018,06/13/2018,113-125 N GREEN ST,113,113-125,N,GREEN,ST,CHICAGO,IL,60607,27,1,27-1,12,41.883557098,-87.648432396,"(41.883557097965046, -87.64843239611488)"
1133260,369,1,"MR. B'S STUFFED PIZZA, INC.",SUPAROSSA,06/13/2018,12/01/2018,06/01/2018,4250 N CENTRAL AVE,4250,4250,N,CENTRAL,AVE,CHICAGO,IL,60634,38,44,38-44,16,41.958373846,-87.767320762,"(41.95837384588684, -87.76732076240101)"
1131613,9348,1,THE 180 NORTH WACKER RESTAURANT CORPORATION,PEARL TAVERN,06/13/2018,12/01/2018,03/21/2018,180 N WACKER DR,180,180,N,WACKER,DR,CHICAGO,IL,60606,42,9,42-9,1,41.885243233,-87.637164794,"(41.8852432326908, -87.63716479430107)"
1131546,350215,2,"REINS INTERNATIONAL CHICAGO, INC.",GYU-KAKU RESTAURANT,06/13/2018,12/01/2018,03/27/2018,1364 W RANDOLPH ST,1364,1364,W,RANDOLPH,ST,CHICAGO,IL,60607,27,33,27-33,12,41.884288898,-87.661279418,"(41.88428889843475, -87.66127941800869)"
1133583,252607,1,OZ CORPORATION,STAROPOLSKA RESTAURANT,06/12/2018,12/01/2018,06/12/2018,3028-3030 N MILWAUKEE AVE,3028,3028-3030,N,MILWAUKEE,AVE,CHICAGO,IL,60618,30,18,30-18,25,41.936159627,-87.719262177,"(41.93615962741124, -87.71926217666866)"
1133470,269410,1,BACCI CAFE AND PIZZERIA ON MILWAKEE AVE. INC,BACCI CAFE AND PIZZERIA ON MILAUKEE AVE. INC.,06/12/2018,12/01/2018,06/12/2018,4367 N MILWAUKEE AVE,4367,4367,N,MILWAUKEE,AVE,CHICAGO,IL,60641,45,26,45-26,16,41.96055088,-87.754230747,"(41.96055088007665, -87.7542307472157)"
1133359,349623,2,"FLO AND SANTO, LLC",FLO & SANTO,06/12/2018,12/01/2018,06/12/2018,1310 S WABASH AVE,1310,1310,S,WABASH,AVE,CHICAGO,IL,60605,3,55,3-55,1,41.865399757,-87.62593557,"(41.86539975663988, -87.62593556962943)"
1133253,202984,1,"U Go Boy, Inc.",Kit Kat Lounge and Restaurant,06/12/2018,12/01/2018,06/12/2018,3700 N HALSTED ST,3700,3700,N,HALSTED,ST,CHICAGO,IL,60613,46,24,46-24,19,41.949147337,-87.649689839,"(41.94914733742978, -87.64968983874849)"
1133597,407377,1,"SNOW JUNKIE CAFE, INC.","SNOW JUNKIE CAFE, INC.",06/11/2018,12/01/2018,06/11/2018,3759 N RACINE AVE,3759,3759,N,RACINE,AVE,CHICAGO,,60613,44,,44-,19,41.950515523,-87.659104816,"(41.95051552293134, -87.65910481634444)"
